,BusID:ID,"kVA rating of
Winding 1 (kVA):double", %R1:double, %R2:double, %R3:double, %X12:double, %X13:double, %X23:double,Previous Bus:int,X:double,Y:double,Year:int,Month:int,Day:int,Hour:int,CurrVal:double,PrevNode Val:double,PrevVal:double
51,T_3041,50.0,0.55,1.1,1.1,2.16,2.16,1.44,3040,19.51,10.87,0,0,0,0,0,0,0
52,T_3042,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3041,19.51,10.33,0,0,0,0,0,0,0
53,T_3043,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3042,19.51,9.79,0,0,0,0,0,0,0
54,T_3044,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3040,19.51,12.03,0,0,0,0,0,0,0
55,T_3045,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3044,19.51,12.63,0,0,0,0,0,0,0
56,T_3056,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3055,21.5,15.2,0,0,0,0,0,0,0
57,T_3057,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3056,22.22,15.2,0,0,0,0,0,0,0
58,T_3058,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3057,22.93,15.2,0,0,0,0,0,0,0
59,T_3059,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3058,23.65,15.2,0,0,0,0,0,0,0
60,T_3060,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3059,24.37,15.2,0,0,0,0,0,0,0
61,T_3061,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3060,25.09,15.2,0,0,0,0,0,0,0
62,T_3062,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3055,21.53,14.13,0,0,0,0,0,0,0
63,T_3063,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3062,22.24,14.13,0,0,0,0,0,0,0
64,T_3064,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3063,22.95,14.14,0,0,0,0,0,0,0
65,T_3065,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3064,23.66,14.13,0,0,0,0,0,0,0
66,T_3066,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3065,24.38,14.13,0,0,0,0,0,0,0
67,T_3067,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3066,25.09,14.13,0,0,0,0,0,0,0
68,T_3083,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3082,19.1,6.79,0,0,0,0,0,0,0
69,T_3084,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3083,18.23,6.79,0,0,0,0,0,0,0
70,T_3085,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3084,17.36,6.79,0,0,0,0,0,0,0
71,T_3086,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3085,16.49,6.79,0,0,0,0,0,0,0
72,T_3087,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3086,15.62,6.79,0,0,0,0,0,0,0
73,T_3088,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3087,14.75,6.79,0,0,0,0,0,0,0
74,T_3089,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3088,13.88,6.79,0,0,0,0,0,0,0
75,T_3090,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3089,13.01,6.79,0,0,0,0,0,0,0
76,T_3091,25.0,0.665,1.33,1.33,2.256,2.256,1.504,3090,12.14,6.79,0,0,0,0,0,0,0
77,T_3093,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3092,22.07,7.3,0,0,0,0,0,0,0
78,T_3094,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3093,22.04,7.81,0,0,0,0,0,0,0
79,T_3095,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3094,22.05,8.32,0,0,0,0,0,0,0
80,T_3096,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3095,22.05,8.83,0,0,0,0,0,0,0
81,T_3097,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3096,22.05,9.34,0,0,0,0,0,0,0
82,T_3098,50.0,0.55,1.1,1.1,2.16,2.16,1.44,3092,22.05,6.13,0,0,0,0,0,0,0
83,T_3099,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3098,22.05,5.56,0,0,0,0,0,0,0
84,T_3101,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3100,23.86,6.8,0,0,0,0,0,0,0
85,T_3102,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3101,24.53,6.8,0,0,0,0,0,0,0
86,T_3103,50.0,0.55,1.1,1.1,2.16,2.16,1.44,3102,25.12,6.8,0,0,0,0,0,0,0
87,T_3104,100.0,0.56,1.12,1.12,2.688,2.688,1.792,3100,23.09,7.52,0,0,0,0,0,0,0
88,T_3105,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3104,23.08,8.08,0,0,0,0,0,0,0
89,T_3106,100.0,0.56,1.12,1.12,2.688,2.688,1.792,3105,23.09,8.67,0,0,0,0,0,0,0
90,T_3108,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3107,18.97,5.54,0,0,0,0,0,0,0
91,T_3109,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3108,18.07,5.54,0,0,0,0,0,0,0
92,T_3110,50.0,0.55,1.1,1.1,2.16,2.16,1.44,3109,16.97,5.54,0,0,0,0,0,0,0
93,T_3111,50.0,0.55,1.1,1.1,2.16,2.16,1.44,3110,15.97,5.54,0,0,0,0,0,0,0
94,T_3112,50.0,0.55,1.1,1.1,2.16,2.16,1.44,3111,15.07,5.54,0,0,0,0,0,0,0
95,T_3114,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3113,18.63,4.15,0,0,0,0,0,0,0
