,Primary voltage rating (kV),Secondary voltage rating (kV),kVA rating (kVA),%R,%X,Year,Month,Day,Hour,Current Value,Prev Node,Prev Time,Anomaly
63,13.8,0.208,75,1.0,2.1,2017,1,3,16,21.08,26.288,22.04,0
64,13.8,0.208,75,1.0,2.1,2017,1,3,17,0.0,23.53,21.08,1
65,13.8,0.208,75,1.0,2.1,2017,1,3,18,10.4,10.36,0.0,0
66,13.8,0.208,75,1.0,2.1,2017,1,3,19,4.2,6.409,10.4,0
67,13.8,0.208,75,1.0,2.1,2017,1,3,20,11.68,7.499,4.2,2
68,13.8,0.208,75,1.0,2.1,2017,1,3,21,9.52,5.284,11.68,2
69,13.8,0.208,75,1.0,2.1,2017,1,3,22,4.64,5.936,9.52,0
70,13.8,0.208,75,1.0,2.1,2017,1,3,23,5.0,4.964,4.64,0
71,13.8,0.208,75,1.0,2.1,2017,1,4,0,0.0,4.866,5.0,1
72,13.8,0.208,75,1.0,2.1,2017,1,4,1,9.68,5.182,0.0,2
73,13.8,0.208,75,1.0,2.1,2017,1,4,2,5.12,4.965,9.68,0
74,13.8,0.208,75,1.0,2.1,2017,1,4,3,5.32,4.911,5.12,0
75,13.8,0.208,75,1.0,2.1,2017,1,4,4,5.0,5.829,5.32,0
76,13.8,0.208,75,1.0,2.1,2017,1,4,5,4.96,4.924,5.0,0
77,13.8,0.208,75,1.0,2.1,2017,1,4,6,5.64,4.914,4.96,0
78,13.8,0.208,75,1.0,2.1,2017,1,4,7,5.96,7.883,5.64,0
79,13.8,0.208,75,1.0,2.1,2017,1,4,8,12.8,24.82,5.96,0
80,13.8,0.208,75,1.0,2.1,2017,1,4,9,16.84,25.823,12.8,0
81,13.8,0.208,75,1.0,2.1,2017,1,4,10,17.0,24.488,16.84,0
82,13.8,0.208,75,1.0,2.1,2017,1,4,11,33.2,23.458,17.0,2
83,13.8,0.208,75,1.0,2.1,2017,1,4,12,15.72,34.766,33.2,0
84,13.8,0.208,75,1.0,2.1,2017,1,4,13,15.68,29.676,15.72,0
85,13.8,0.208,75,1.0,2.1,2017,1,4,14,12.56,32.669,15.68,0
86,13.8,0.208,75,1.0,2.1,2017,1,4,15,11.36,29.275,12.56,0
87,13.8,0.208,75,1.0,2.1,2017,1,4,16,14.04,25.468,11.36,0
88,13.8,0.208,75,1.0,2.1,2017,1,4,17,9.08,24.094,14.04,0
89,13.8,0.208,75,1.0,2.1,2017,1,4,18,9.48,7.667,9.08,0
90,13.8,0.208,75,1.0,2.1,2017,1,4,19,13.68,7.05,9.48,0
91,13.8,0.208,75,1.0,2.1,2017,1,4,20,13.24,6.628,13.68,0
92,13.8,0.208,75,1.0,2.1,2017,1,4,21,12.92,6.408,13.24,0
93,13.8,0.208,75,1.0,2.1,2017,1,4,22,9.92,7.019,12.92,0
94,13.8,0.208,75,1.0,2.1,2017,1,4,23,4.92,5.703,9.92,0
95,13.8,0.208,75,1.0,2.1,2017,1,5,0,5.08,5.273,4.92,0
96,13.8,0.208,75,1.0,2.1,2017,1,5,1,5.36,5.454,5.08,0
97,13.8,0.208,75,1.0,2.1,2017,1,5,2,0.0,5.445,5.36,1
98,13.8,0.208,75,1.0,2.1,2017,1,5,3,4.68,5.338,0.0,0
99,13.8,0.208,75,1.0,2.1,2017,1,5,4,4.92,5.466,4.68,0
100,13.8,0.208,75,1.0,2.1,2017,1,5,5,5.68,5.178,4.92,0
101,13.8,0.208,75,1.0,2.1,2017,1,5,6,0.0,6.156,5.68,1
102,13.8,0.208,75,1.0,2.1,2017,1,5,7,12.48,8.142,0.0,2
103,13.8,0.208,75,1.0,2.1,2017,1,5,8,15.56,22.352,12.48,0
104,13.8,0.208,75,1.0,2.1,2017,1,5,9,16.76,24.099,15.56,0
105,13.8,0.208,75,1.0,2.1,2017,1,5,10,17.36,27.0885,16.76,0
106,13.8,0.208,75,1.0,2.1,2017,1,5,11,16.08,37.8674,17.36,0
107,13.8,0.208,75,1.0,2.1,2017,1,5,12,23.2555,48.6463,16.08,0
108,13.8,0.208,75,1.0,2.1,2017,1,5,13,43.4732,44.77,23.2555,2
109,13.8,0.208,75,1.0,2.1,2017,1,5,14,18.951,46.1195,43.4732,0
110,13.8,0.208,75,1.0,2.1,2017,1,5,15,19.5339,45.1225,18.951,0
111,13.8,0.208,75,1.0,2.1,2017,1,5,16,0.0,44.6369,19.5339,1
112,13.8,0.208,75,1.0,2.1,2017,1,5,17,18.8527,27.2094,0.0,0
113,13.8,0.208,75,1.0,2.1,2017,1,5,18,19.7435,9.2468,18.8527,0
114,13.8,0.208,75,1.0,2.1,2017,1,5,19,13.3489,9.4361,19.7435,0
115,13.8,0.208,75,1.0,2.1,2017,1,5,20,11.6118,8.3891,13.3489,0
116,13.8,0.208,75,1.0,2.1,2017,1,5,21,7.0299,8.0163,11.6118,0
117,13.8,0.208,75,1.0,2.1,2017,1,5,22,6.8783,8.7434,7.0299,0
118,13.8,0.208,75,1.0,2.1,2017,1,5,23,0.0,7.5078,6.8783,1
119,13.8,0.208,75,1.0,2.1,2017,1,6,0,5.9899,5.388,0.0,0
120,13.8,0.208,75,1.0,2.1,2017,1,6,1,4.75495,3.018,5.9899,0
121,13.8,0.208,75,1.0,2.1,2017,1,6,2,4.48,2.951,4.75495,0
122,13.8,0.208,75,1.0,2.1,2017,1,6,3,3.98,2.982,4.48,0
123,13.8,0.208,75,1.0,2.1,2017,1,6,4,7.82,3.535,3.98,2
