,BusID:ID,"Voltage rating of Winding 1 (kV):double", %R1:double, %R2:double, %R3:double, %X12:double, %X13:double, %X23:double,Previous Bus:int,X:double,Y:double,Year:int,Month:int,Day:int,Hour:int,CurrVal:double,"PrevNode Val:double",PrevVal:double
45,T_3024 ,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3023,16.99,10.12,2017,1,5,5,5.569,5.931,5.549
46,T_3025,7.9677,0.55,1.1,1.1,2.16,2.16,1.44,3024,16.99,9.47,2017,1,5,5,6.759,5.569,6.723
47,T_3026,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3022,16.99,12.06,2017,1,5,5,4.975,0.0,5.251
48,T_3027,7.9677,0.56,1.12,1.12,2.688,2.688,1.792,3026,16.99,12.72,2017,1,5,5,6.897,4.975,5.919
49,T_3028,7.9677,0.56,1.12,1.12,2.688,2.688,1.792,3027,16.99,13.38,2017,1,5,5,9.573,6.897,8.967
50,T_3029,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3028,16.99,14.03,2017,1,5,5,3.518,9.573,3.133
51,T_3041,7.9677,0.55,1.1,1.1,2.16,2.16,1.44,3040,19.51,10.87,2017,1,5,5,5.553,0.0,5.257
52,T_3042,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3041,19.51,10.33,2017,1,5,5,7.515,5.553,7.712
53,T_3043,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3042,19.51,9.79,2017,1,5,5,7.474,7.515,6.359
54,T_3044,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3040,19.51,12.03,2017,1,5,5,4.48034375,0.0,4.3756875
55,T_3045,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3044,19.51,12.63,2017,1,5,5,5.345,4.48034375,4.67
56,T_3056,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3055,21.5,15.2,2017,1,5,5,3.992,0.0,3.989
57,T_3057,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3056,22.22,15.2,2017,1,5,5,3.60296484375,3.992,2.8599296875
58,T_3058,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3057,22.93,15.2,2017,1,5,5,3.773,3.60296484375,3.842
59,T_3059,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3058,23.65,15.2,2017,1,5,5,6.239,3.773,5.205
60,T_3060,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3059,24.37,15.2,2017,1,5,5,2.554,6.239,2.695
